UK General Election Results 1992,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%,Electorate,Majority,Turnout,Status
,,SR Cowton,Liberal Democrat,4321,11.06%,,,,
,,,,,,,,,
Barnsley East,,T Patchett,Labour,30346,77.19%,53956,24777,72.86%,Labour Hold
,,JM Procter,Conservative,5569,14.17%,,,,
,,Mrs S Anginotti,Liberal Democrat,3399,8.65%,,,,
,,,,,,,,,
Barnsley West and Penistone,,M Clapham,Labour/Co-operative,27965,58.25%,63391,14504,75.73%,Labour/Co-operative Gain
,,G Sawyer,Conservative,13461,28.04%,,,,
,,IH Nicolson,Liberal Democrat,5610,11.69%,,,,
,,D Jones,Green,970,2.02%,,,,
,,,,,,,,,
Barrow and Furness,,JMP Hutton,Labour,26568,47.74%,67835,3578,82.03%,Labour Gain
,,CS Franks,Conservative,22990,41.31%,,,,
,,CJ Crane,Liberal Democrat,6089,10.94%,,,,
,,,,,,,,,
Basildon,*,DAA Amess,Conservative,24159,44.90%,67442,1480,79.77%,Conservative Hold
,,JR Potter,Labour,22679,42.15%,,,,
,,G Williams,Liberal Democrat,6963,12.94%,,,,
,,,,,,,,,
Basingstoke,*,ARF Hunter,Conservative,37521,54.63%,82962,21198,82.78%,Conservative Hold
,,DJC Bull,Labour,16323,23.77%,,,,
,,CI Curtis,Liberal Democrat,14119,20.56%,,,,
,,Ms. VJ Oldaker,Green,714,1.04%,,,,
,,,,,,,,,
Bassetlaw,*,JW Ashton,Labour,29061,53.36%,68583,9997,79.41%,Labour Hold
,,Mrs CA Spelman,Conservative,19064,35.00%,,,,
,,MJ Reynolds,Liberal Democrat,6340,11.64%,,,,
,,,,,,,,,
Bath,,DME Foster,Liberal Democrat,25718,48.92%,63838,3768,82.35%,Liberal Democrat Gain
,*,CF Patten,Conservative,21950,41.75%,,,,
,,Mrs PR Richards,Labour,4102,7.80%,,,,
,,D McCanlis,Green,433,0.82%,,,,
,,Mrs MJ Barker,Liberal,172,0.33%,,,,
,,Dr. A Sked,Anti-Federalist League,117,0.22%,,,,
,,JAS Rumming,Independent,79,0.15%,,,,
,,,,,,,,,
Batley and Spen,*,Mrs EJ Peacock,Conservative,27629,45.40%,76387,1408,79.67%,Conservative Hold
,,Mrs EA Durkin,Labour,26221,43.09%,,,,
,,GJ Beever,Liberal Democrat,6380,10.48%,,,,
,,CR Lord,Green,628,1.03%,,,,
,,,,,,,,,
Battersea,*,JC Bowis,Conservative,26390,50.48%,68207,4840,76.65%,Conservative Hold
,,ALM Dubs,Labour,21550,41.22%,,,,
,,R O'Brien,Liberal Democrat,3659,7.00%,,,,
,,IB Wingrove,Green,584,1.12%,,,,
,,WA Stevens,Natural Law,98,0.19%,,,,
,,,,,,,,,
Beaconsfield,*,TJ Smith,Conservative,33817,63.95%,66899,23597,79.04%,Conservative Hold
,,Ms. PA Purse,Liberal Democrat,10220,19.33%,,,,
,,DG Smith,Labour,7163,13.55%,,,,
,,WF Foulds,Independent Conservative,1317,2.49%,,,,
,,APO Foss,Natural Law,196,0.37%,,,,
,,Ms. J Martin,Independent,166,0.31%,,,,
,,,,,,,,,
Beckenham,,PRG Merchant,Conservative,26323,56.87%,59469,15285,77.83%,Conservative Hold
,,KGH Ritchie,Labour,11038,23.85%,,,,
,,Mrs MC Williams,Liberal Democrat,8038,17.37%,,,,
,,G Williams,Liberal,643,1.39%,,,,
,,PJ Shaw,Natural Law,243,0.53%,,,,
,,,,,,,,,
Bedfordshire Mid,*,Sir NW Lyell,Conservative,40230,58.19%,81950,25138,84.37%,Conservative Hold
,,RA Clayton,Labour,15092,21.83%,,,,
,,NC Hills,Liberal Democrat,11957,17.29%,,,,
,,DP Cottier,Liberal,1582,2.29%,,,,
,,MJ Lorys,Natural Law,279,0.40%,,,,
,,,,,,,,,
Bedfordshire North,*,Sir THH Skeet,Conservative,29970,50.70%,73789,11668,80.10%,Conservative Hold
,,P Hall,Labour,18302,30.96%,,,,
,,M Smithson,Liberal Democrat,10014,16.94%,,,,
,,Ms. L Smith,Green,643,1.09%,,,,
,,BH Bence,Natural Law,178,0.30%,,,,
,,,,,,,,,
Bedfordshire South West,*,WD Madel,Conservative,37498,57.13%,80120,21273,81.93%,Conservative Hold
,,BE Elliott,Labour,16225,24.72%,,,,
,,JM Freeman,Liberal Democrat,10988,16.74%,,,,
,,PJ Rollings,Green,689,1.05%,,,,
,,JD Gilmour,Natural Law,239,0.36%,,,,
,,,,,,,,,
Belfast East,*,PD Robinson,Democratic Unionist,18437,51.51%,52869,7787,67.70%,Democratic Unionist Hold
,,Dr. JT Alderdice,Alliance,10650,29.76%,,,,
,,D Greene,Conservative,3314,9.26%,,,,
,,Mrs D Dunlop,Independent Ulster Unionist,2256,6.30%,,,,
,,J O'Donnell,Sinn Féin,679,1.90%,,,,
,,J Bell,The Workers' (NI),327,0.91%,,,,
,,GF Redden,Natural Law,128,0.36%,,,,
,,,,,,,,,
Belfast North,*,AC Walker,Ulster Unionist,17240,48.00%,55068,9625,65.22%,Ulster Unionist Hold
,,A Maginness,Social Democratic and Labour,7615,21.20%,,,,
,,TP McManus,Sinn Féin,4693,13.07%,,,,
,,T Campbell,Alliance,2246,6.25%,,,,
,,Mrs MR Redpath,Conservative,2107,5.87%,,,,
,,S Lynch,New Alliance of Great Britain,1386,3.86%,,,,
,,Mrs M Smith,The Workers' (NI),419,1.17%,,,,
,,D O'Leary,Natural Law,208,0.58%,,,,
,,,,,,,,,
Belfast South,*,Rev. WM Smyth,Ulster Unionist,16336,48.64%,52050,10070,64.52%,Ulster Unionist Hold
,,Dr. A McDonnell,Social Democratic and Labour,6266,18.66%,,,,
,,JA Montgomery,Alliance,5054,15.05%,,,,
,,AL Fee,Conservative,3356,9.99%,,,,
,,S Hayes,Sinn Féin,1123,3.34%,,,,
,,P Hadden,Labour and Trade Union,875,2.61%,,,,
,,PJT Lynn,The Workers' (NI),362,1.08%,,,,
,,Miss TMM Mullan,Natural Law,212,0.63%,,,,
,,,,,,,,,
Belfast West,,Dr. JG Hendron,Social Democratic and Labour,17415,43.57%,54644,589,73.15%,Social Democratic and Labour Gain
,*,G Adams,Sinn Féin,16826,42.10%,,,,
,,F Cobain,Ulster Unionist,4766,11.92%,,,,
,,JT Lowry,The Workers' (NI),750,1.88%,,,,
,,MF Kennedy,Natural Law,213,0.53%,,,,
,,,,,,,,,
Berkshire East,*,AJ MacKay,Conservative,43898,59.67%,90414,28680,81.37%,Conservative Hold
,,Mrs LA Murray,Liberal Democrat,15218,20.68%,,,,
,,K Dibble,Labour,14458,19.65%,,,,
,,,,,,,,,
Berwick-upon-Tweed,*,AJ Beith,Liberal Democrat,19283,44.37%,54937,5043,79.10%,Liberal Democrat Gain
,,AW Henfrey,Conservative,14240,32.77%,,,,
,,GJ Adam,Labour,9933,22.86%,,,,
,,,,,,,,,
Bethnal Green and Stepney,*,PD Shore,Labour,20350,55.84%,55675,12230,65.46%,Labour Hold
,,JA Shaw,Liberal Democrat,8120,22.28%,,,,
,,Miss JE Emmerson,Conservative,6507,17.86%,,,,
,,RC Edmonds,British National,1310,3.59%,,,,
,,SE Kelsey,Communist of Great Britain,156,0.43%,,,,
,,,,,,,,,
Beverley,*,JD Cran,Conservative,34503,53.32%,81033,16517,79.86%,Conservative Hold
,,A Collinge,Liberal Democrat,17986,27.79%,,,,
,,CR Challen,Labour,12026,18.58%,,,,
,,D Hetherington,Natural Law,199,0.31%,,,,
,,,,,,,,,
Bexhill and Battle,*,CF Wardle,Conservative,31380,60.27%,65829,16357,79.10%,Conservative Hold
,,Ms. SM Prochak,Liberal Democrat,15023,28.85%,,,,
,,FW Taylor,Labour,4883,9.38%,,,,
,,JL Prus,Green,594,1.14%,,,,
,,Mrs MF Smith,Independent,190,0.36%,,,,
,,,,,,,,,
Bexleyheath,*,CD Townsend,Conservative,25606,54.02%,57684,14086,82.18%,Conservative Hold
,,RJ Browning,Labour,11520,24.30%,,,,
,,Mrs AW Chaplin,Liberal Democrat,10107,21.32%,,,,
,,RWC Cundy,Independent,170,0.36%,,,,
,,,,,,,,,
Billericay,*,Mrs TE Gorman,Conservative,37406,56.51%,80287,22494,82.45%,Conservative Hold
,,F Bellard,Liberal Democrat,14912,22.53%,,,,
,,Ms. AF Miller,Labour,13880,20.97%,,,,
,,,,,,,,,
Birkenhead,*,FE Field,Labour,29098,63.63%,62673,17613,72.97%,Labour Hold
,,RGM Hughes,Conservative,11485,25.11%,,,,
,,Mrs PM Williams,Liberal Democrat,4417,9.66%,,,,
,,Miss TR Fox,Green,543,1.19%,,,,
,,Mrs B Griffiths,Natural Law,190,0.42%,,,,
,,,,,,,,,
Birmingham Edgbaston,*,Dame JCJ Knight,Conservative,18529,49.00%,53058,4307,71.27%,Conservative Hold
,,JF Wilton,Labour,14222,37.61%,,,,
,,IRS Robertson-Steel,Liberal Democrat,4419,11.69%,,,,
,,PM Simpson,Green,643,1.70%,,,,
,,,,,,,,,
Birmingham Erdington,*,R Corbett,Labour,18549,50.46%,52414,4735,70.14%,Labour Hold
,,SN Hope,Conservative,13814,37.58%,,,,
,,JRB Campbell,Liberal Democrat,4398,11.96%,,,,
,,,,,,,,,
Birmingham Hall Green,*,AR Hargreaves,Conservative,21649,46.09%,60103,3665,78.16%,Conservative Hold
,,Mrs JE Slowey,Labour,17984,38.28%,,,,
,,DA McGrath,Liberal Democrat,7342,15.63%,,,,
,,,,,,,,,
Birmingham Hodge Hill,*,TAG Davis,Labour,21895,53.62%,57581,7068,70.91%,Labour Hold
,,Miss EM Gibson,Conservative,14827,36.31%,,,,
,,SCG Hagan,Liberal Democrat,3740,9.16%,,,,
,,EJ Whicker,National Front,370,0.91%,,,,
,,,,,,,,,
Birmingham Ladywood,*,Miss Clare Short,Labour,24887,66.26%,56995,15283,65.90%,Labour Hold
,,Mrs BS Ashford,Conservative,9604,25.57%,,,,
,,BL Worth,Liberal Democrat,3068,8.17%,,,,
,,,,,,,,,
Birmingham Northfield,,RH Burden,Labour,24433,45.53%,70563,630,76.06%,Labour Gain
,*,RD King,Conservative,23803,44.35%,,,,
,,DL Cropp,Liberal Democrat,5431,10.12%,,,,
,,,,,,,,,
Birmingham Perry Barr,*,JW Rooker,Labour,27507,53.22%,72186,8590,71.60%,Labour Hold
,,GG Green,Conservative,18917,36.60%,,,,
,,TPJG Philpott,Liberal Democrat,5261,10.18%,,,,
,,,,,,,,,
Birmingham Selly Oak,,Mrs LM Jones,Labour,25430,46.01%,72195,2060,76.56%,Labour Gain
,*,AM Beaumont-Dark,Conservative,23370,42.28%,,,,
,,D Osborne,Liberal Democrat,5679,10.27%,,,,
,,PG Slatter,Green,535,0.97%,,,,
,,CW Barwood,Natural Law,178,0.32%,,,,
,,K Malik,Revolutionary Communist,84,0.15%,,,,
,,,,,,,,,
Birmingham Sparkbrook,*,RSG Hattersley,Labour,22116,64.07%,51682,13572,66.80%,Labour Hold
,,MJ Khamisa,Conservative,8544,24.75%,,,,
,,DJ Parry,Liberal Democrat,3028,8.77%,,,,
,,CJ Alldrick,Green,833,2.41%,,,,
,,,,,,,,,
Birmingham Yardley,,Miss E Morris,Labour,14884,34.86%,54755,162,77.98%,Labour Gain
,*,ADG Bevan,Conservative,14722,34.48%,,,,
,,JAM Hemming,Liberal Democrat,12899,30.21%,,,,
,,Miss P Read,National Front,192,0.45%,,,,
,,,,,,,,,
Birminghan Small Heath,,RD Godsiff,Labour,22675,65.35%,55233,13989,62.82%,Labour Hold
,,A Quayyum Chaudhary,Conservative,8686,25.03%,,,,
,,HA Thomas,Liberal Democrat,2515,7.25%,,,,
,,Mrs HM Clawley,Green,824,2.37%,,,,
,,,,,,,,,
Bishop Auckland,*,D Foster,Labour,27763,49.99%,72573,10087,76.53%,Labour Hold
,,DR Williamson,Conservative,17676,31.83%,,,,
,,WP Wade,Liberal Democrat,10099,18.18%,,,,
,,,,,,,,,
Blaby,,ARG Robathan,Conservative,39498,57.91%,81791,25347,83.40%,Conservative Hold
,,Ms. EM Ranson,Labour,14151,20.75%,,,,
,,Ms. M Lewin,Liberal Democrat,13780,20.20%,,,,
,,JA Peacock,British National,521,0.76%,,,,
,,Ms. SI Lincoln,Natural Law,260,0.38%,,,,
,,,,,,,,,
Blackburn,*,Jack W Straw,Labour,26633,48.44%,73337,6027,74.97%,Labour Hold
,,RM Coates,Conservative,20606,37.48%,,,,
,,DE Mann,Liberal Democrat,6332,11.52%,,,,
,,RRC Field,Green,878,1.60%,,,,
,,Mrs M Carmichael-Grimshaw,Independent,334,0.61%,,,,
,,WJ Ayliffe,Natural Law,195,0.35%,,,,
,,,,,,,,,
Blackpool North,,HDH Elletson,Conservative,21501,47.73%,58142,3040,77.48%,Conservative Hold
,,ET Kirton,Labour,18461,40.98%,,,,
,,AP Lahiff,Liberal Democrat,4786,10.62%,,,,
,,Sir G Francis,Monster Raving Loony,178,0.40%,,,,
,,HB Walker,Natural Law,125,0.28%,,,,
,,,,,,,,,
Blackpool South,,NJ Hawkins,Conservative,19880,45.24%,56829,1667,77.32%,Conservative Hold
,,G Marsden,Labour,18213,41.45%,,,,
,,RE Wynne,Liberal Democrat,5673,12.91%,,,,
,,D Henning,Natural Law,173,0.39%,,,,
,,,,,,,,,
Blaenau Gwent,,LT Smith,Labour,34333,78.98%,55643,30067,78.13%,Labour Hold
,,DRM Melding,Conservative,4266,9.81%,,,,
,,A Burns,Liberal Democrat,2774,6.38%,,,,
,,TAR Davies,Plaid Cymru/Green,2099,4.83%,,,,
,,,,,,,,,
Blaydon,*,JD McWilliam,Labour,27028,52.67%,66044,13343,77.70%,Labour Hold
,,PR Pescod,Conservative,13685,26.67%,,,,
,,VP Nunn,Liberal Democrat,10602,20.66%,,,,
,,,,,,,,,
Blyth Valley,*,R Campbell,Labour,24542,49.88%,60975,8044,80.69%,Labour Hold
,,PM Tracey,Liberal Democrat,16498,33.53%,,,,
,,MJ Revell,Conservative,7691,15.63%,,,,
,,SP Tyley,Green,470,0.96%,,,,
,,,,,,,,,
Bolsover,*,DE Skinner,Labour,33978,64.51%,66551,20655,79.14%,Labour Hold
,,TDR James,Conservative,13323,25.30%,,,,
,,Mrs SP Barber,Liberal Democrat,5368,10.19%,,,,
,,,,,,,,,
Bolton North East,*,PG Thurnham,Conservative,21644,44.85%,58660,185,82.26%,Conservative Hold
,,DA Crausby,Labour,21459,44.47%,,,,
,,BF Dunning,Liberal Democrat,4971,10.30%,,,,
,,P Tong,Natural Law,181,0.38%,,,,
,,,,,,,,,
Bolton South East,*,DW Young,Labour,26906,54.30%,65600,12691,75.53%,Labour Hold
,,NJS Wood-Dow,Conservative,14215,28.69%,,,,
,,DS Lee,Liberal Democrat,5244,10.58%,,,,
,,W Hardman,Independent Labour,2894,5.84%,,,,
,,LJ Walch,Natural Law,290,0.59%,,,,
,,,,,,,,,
Bolton West,*,TG Sackville,Conservative,26452,44.39%,71345,1079,83.53%,Conservative Hold
,,C Morris,Labour/Co-operative,25373,42.58%,,,,
,,Mrs BO Ronson,Liberal Democrat,7529,12.63%,,,,
,,Ms. JR Phillips,Natural Law,240,0.40%,,,,
,,,,,,,,,
Boothferry,*,DM Davis,Conservative,35266,54.77%,80561,17535,79.92%,Conservative Hold
,,Ms. LM Coubrough,Labour,17731,27.54%,,,,
,,JM Goss,Liberal Democrat,11388,17.69%,,,,
,,,,,,,,,
Bootle,*,JE Benton,Labour,37464,74.59%,69308,29442,72.47%,Labour Hold
,,CJ Varley,Conservative,8022,15.97%,,,,
,,JJ Cunningham,Liberal Democrat,3301,6.57%,,,,
,,Mrs MG Hall,Liberal,1174,2.34%,,,,
,,TP Haynes,Natural Law,264,0.53%,,,,
,,,,,,,,,
Bosworth,*,DAS Tredinnick,Conservative,36618,54.25%,80260,19094,84.10%,Conservative Hold
,,DB Everitt,Labour,17524,25.96%,,,,
,,GM Drozdz,Liberal Democrat,12643,18.73%,,,,
,,B Fewster,Green,716,1.06%,,,,
,,,,,,,,,
Bournemouth East,*,DA Atkinson,Conservative,30820,56.36%,75131,14822,72.79%,Conservative Hold
,,NR Russell,Liberal Democrat,15998,29.25%,,,,
,,PJ Brushett,Labour,7541,13.79%,,,,
,,Mrs ST Holmes,Natural Law,329,0.60%,,,,
,,,,,,,,,
Bournemouth West,*,JV Butterfill,Conservative,29820,52.69%,74729,12703,75.73%,Conservative Hold
,,Mrs JT Dover,Liberal Democrat,17117,30.25%,,,,
,,BB Grower,Labour,9423,16.65%,,,,
,,AR Springham,Natural Law,232,0.41%,,,,
,,,,,,,,,
Bow and Poplar,*,Mrs M Gordon,Labour,18487,49.53%,56685,8404,65.84%,Labour Hold
,,PJ Hughes,Liberal Democrat,10083,27.02%,,,,
,,SNC Pearce,Conservative,6876,18.42%,,,,
,,JH Tyndall,British National,1107,2.97%,,,,
,,S Petter,Green,612,1.64%,,,,
,,WR Hite,Natural Law,158,0.42%,,,,
,,,,,,,,,
Bradford North,*,TH Rooney,Labour,23420,47.83%,66711,7664,73.40%,Labour Hold
,,M Riaz,Conservative,15756,32.18%,,,,
,,D Ward,Liberal Democrat,9133,18.65%,,,,
,,W Beckett,Monster Raving Loony,350,0.71%,,,,
,,MH Nasr,Islamic of Britain,304,0.62%,,,,
,,,,,,,,,
Bradford South,*,GR Cryer,Labour,25185,47.64%,69930,4902,75.60%,Labour Hold
,,S Popat,Conservative,20283,38.37%,,,,
,,BJ Boulton,Liberal Democrat,7243,13.70%,,,,
,,M Naseem,Islamic of Britain,156,0.30%,,,,
,,,,,,,,,
Bradford West,*,MF Madden,Labour,26046,53.21%,70017,9502,69.91%,Labour Hold
,,AJ Ashworth,Conservative,16544,33.80%,,,,
,,AO Griffiths,Liberal Democrat,5150,10.52%,,,,
,,P Braham,Green,735,1.50%,,,,
,,DM Pidcock,Islamic of Britain,471,0.96%,,,,
,,,,,,,,,
Braintree,*,AH Newton,Conservative,34415,52.31%,78880,17494,83.41%,Conservative Hold
,,I Willmore,Labour,16921,25.72%,,,,
,,Mrs DP Wallis,Liberal Democrat,13603,20.68%,,,,
,,JE Abbott,Green,855,1.30%,,,,
,,,,,,,,,
Brecon and Radnor,,JP Evans,Conservative,15977,36.09%,51564,130,85.85%,Conservative Gain
,*,RAL Livsey,Liberal Democrat,15847,35.80%,,,,
,,CJ Mann,Labour,11634,26.28%,,,,
,,Mrs SR Meredudd,Plaid Cymru,418,0.94%,,,,
,,HW Richards,Green,393,0.89%,,,,
,,,,,,,,,
Brent East,*,KR Livingstone,Labour,19387,52.83%,53436,5971,68.67%,Labour Hold
,,DH Green,Conservative,13416,36.56%,,,,
,,M Cummins,Liberal Democrat,3249,8.85%,,,,
,,Miss TM Dean,Green,548,1.49%,,,,
,,Mrs AG Murphy,Communist of Great Britain,96,0.26%,,,,
,,,,,,,,,
Brent North,*,Sir R Boyson,Conservative,23445,56.38%,58923,10131,70.57%,Conservative Hold
,,JG Moher,Labour,13314,32.02%,,,,
,,P Lorber,Liberal Democrat,4149,9.98%,,,,
,,VD Thakore,Independent,356,0.86%,,,,
,,TF Davids,Natural Law,318,0.76%,,,,
,,,,,,,,,
Brent South,*,PY Boateng,Labour,20662,57.52%,56054,9705,64.08%,Labour Hold
,,RJ Blackman,Conservative,10957,30.50%,,,,
,,MT Harskin,Liberal Democrat,3658,10.18%,,,,
,,DP Johnson,Green,479,1.33%,,,,
,,CI Jani,Natural Law,166,0.46%,,,,
,,,,,,,,,
Brentford and Isleworth,,NJA Deva,Conservative,24752,45.81%,72193,2086,74.84%,Conservative Hold
,,Mrs AL Keen,Labour,22666,41.95%,,,,
,,Mrs JCN Salmon,Liberal Democrat,5683,10.52%,,,,
,,JW Bradley,Green,927,1.72%,,,,
,,,,,,,,,
Brentwood and Ongar,,EJ Pickles,Conservative,32145,57.63%,65884,15145,84.66%,Conservative Hold
,,Mrs ET Bottomley,Liberal Democrat,17000,30.48%,,,,
,,JF Keohane,Labour,6080,10.90%,,,,
,,Ms. C Bartley,Green,555,0.99%,,,,
,,,,,,,,,
Bridgend,*,WJ Griffiths,Labour,24143,51.27%,58518,7326,80.47%,Labour Hold
,,DA Unwin,Conservative,16817,35.71%,,,,
,,D Mills,Liberal Democrat,4827,10.25%,,,,
,,A Lloyd Jones,Plaid Cymru,1301,2.76%,,,,
,,,,,,,,,
Bridgwater,*,TJ King,Conservative,26610,46.76%,71575,9716,79.51%,Conservative Hold
,,WJ Revans,Liberal Democrat,16894,29.69%,,,,
,,PE James,Labour,12365,21.73%,,,,
,,GMJ Dummett,Green,746,1.31%,,,,
,,AC Body,Independent,183,0.32%,,,,
,,Ms. GF Sanson,Natural Law,112,0.20%,,,,
,,,,,,,,,
Bridlington,*,JE Townend,Conservative,33604,50.83%,84950,16358,77.83%,Conservative Hold
,,JA Leeman,Liberal Democrat,17246,26.09%,,,,
